Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,22pF,
"C10, C11, C12, C13, C14, C3, C4, C5, C6, C7",0402,10,0.1uF,
"C8, C9",0402,2,10uF,
"D1, D2, D3, D4, D5",XL-1010RGBC-WS2812B,5,WS2812,
F1,1206,1,JK-nSMD050SF,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,GT-USB-7010ASV,
J2,AVR_ISP_HEADER,1,AVR-ISP-6,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,SolderJumper_2_Bridged,
"R1, R2",0402,2,5k1,
"R10, R6, R7, R8, R9",0402,5,4k7,
R11,0402,1,220E,
"R3, R4",0402,2,22E,
R5,0402,1,10k,
"SW1, SW2, SW3, SW4, SW5",SW_Cherry_MX_PCB,5,SW_Push,
SW6,SW_SPST_TL3342,1,TS-1187A-B-A-B,
U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm_ThermalVias,1,ATmega32U4-A,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322516MLB4SI,
